text,size,topic 
development,818,2 
transit,746,2 
centers,647,2 
mixed,640,2 
corridors,520,2 
urban,443,2 
city,414,2 
oriented,388,2 
building,359,2 
areas,314,2 
zoning,299,2 
redevelopment,209,2 
activity,198,2 
blocks,195,2 
districts,194,2 
existing,190,2 
vision,187,2 
block,178,2 
compact,166,2 
investment,165,2 
friendly,161,2 
initiative,160,2 
housing,158,2 
standards,158,2 
walking,154,2 
develop,152,2 
places,129,2 
policies,127,2 
people,125,2 
stations,122,2 
infill,117,2 
options,114,2 
sensitive,110,2 
modal,108,2 
walkable,106,2 
design,105,2 
quality,103,2 
growth,103,2 
creating,102,2 
complete,101,2 
key,99,2 
private,91,2 
homes,91,2 
create,90,2 
tod,88,2 
encouraging,86,2 
promotes,86,2 
identify,83,2 
concept,83,2 
developments,83,2 
mix,82,2 hubs,82,2 
connected,81,2 
direct,77,2 
higher,77,2 
vibrant,76,2 
illustration,76,2 
choices,75,2 
built,74,2 
includes,74,2 
initiatives,73,2 
core,68,2 
corridor,67,2 
scenario,65,2 
jobs,64,2 
shop,64,2 
successful,64,2 
type,62,2 
principles,61,2 
distance,59,2 
practices,56,2 
developer,53,2 
destinations,53,2 
exist,52,2 
accommodate,51,2 
sustainable,51,2 
environment,51,2 
central,50,2 
patterns,49,2 
developers,48,2 
multifamily,48,2 
future,47,2 
pedestrian,47,2 
small,46,2 
investments,46,2 
served,44,2 
station,44,2 
dense,42,2 
trails,40,2 
definition,40,2 
similar,39,2 
targeted,39,2 
river,38,2 
environments,38,2 
natural,38,2 
concentrations,36,2 
walk,35,2 
easy,35,2 
university,35,2 
boulevards,33,2 
