id,comment_id,Comment
326,1239,Progressive
329,1244,Progressive
330,1245,Progressive
334,1249,Progressive
335,1251,Progressive
338,1254,Progressive
344,1260,Progressive
347,1264,Progressive
348,1265,Progressive in the tasks at hand.
353,1271,Progressive
363,1284,progressive
364,1286,Progressive
425,1355,Progressive
427,1357,Progressive
444,1375,Progressive
460,1393,Progressive
465,1400,Progressive
466,1401,Progressive
478,1419,Progressive
509,1454,Progressive
573,1523,Progressive
578,1528,Progressive
592,1546,Progressive
593,1548,Progressive
620,1589,Progressive
627,1599,Progressive through the recordings .
654,1631,Progressive
657,1635,Progressive
658,1636,Progressive
773,1774,Progressive
787,1798,Progressive
790,1801,Progressive
801,1814,Progressive
830,1849,Progressive
869,1895,Progressive
898,1932,Progressive
927,1970,Progressive
943,1995,Progressive
945,1997,Progressive.
946,1998,Progressive
955,2007,progressive
967,2021,Progressive
968,2022,Progressive
970,2024,Progressive
985,2046,Progressive
988,2049,Progressive in  the tasks at hand.
1109,2199,progressive
1122,2214,Progressive
1133,2228,Progressive
1149,2253,Progressive
1152,2256,Progressive
1172,2282,Progressive.
1174,2285,Progressive
1179,2295,Progressive
1194,2313,Progressive
1220,2347,progressive
1522,2734,Progressive
1549,2777,Progressive in the week's tasks.
1550,2778,Progressive
1552,2780,Progressive
1557,2787,Progressive
1560,2790,Progressive
1607,2856,Progressive
1683,2950,Progressive
1690,2957,Progressive
1694,2964,Progressive
1702,2975,Progressive
1711,2988,Progressive
1742,3056,Progressive
1753,3076,Progressive
1759,3087,Progressive
1770,3099,Progressive
1772,3103,Progressive
1773,3104,Progressive
1777,3109,Progressive
1778,3110,Progressive
1785,3124,Progressive
1790,3129,Progressive
1829,3172,Progressive.
1831,3174,Progressive
1832,3177,Progressive
1840,3186,Progressive in systems development
1876,3242,Progressive Tasks.
1918,3323,Progressive
1920,3325,Progressive
1923,3329,Progressive
1927,3337,Technically progressive
1928,3342,Progressive
1931,3346,Progressive
1934,3353,Progressive
1935,3354,Progressive
2013,3451,Progressive
2020,3464,Progressive
2037,3487,Progressive
2074,3552,Progressive
2078,3559,Progressive
2079,3561,Progressive installations.
2089,3575,Progressive
2090,3576,Progressive
2119,3606,Progressive
2123,3611,Progressive
2134,3626,Progressive
2171,3674,Progressive in networking
2172,3675,Progressive
2193,3737,progressive
2196,3743,Progressive
2240,3797,Progressive
2259,3828,Progressive
2261,3832,Progressive
2384,4042,Progressive
2397,4060,Progressive
2413,4083,Progressive tasks
2414,4085,progressive
2429,4107,Progressive
2430,4108,Progressive
2431,4109,Progressive
2434,4114,Progressive
2442,4131,Progressive
2448,4138,Progressive
2449,4139,Progressive
2450,4140,Progressive
2456,4152,Progressive
2459,4155,Progressive
2462,4158,Progressive
2465,4161,Progressive
2466,4162,Progressive
2475,4188,Progressive
2479,4200,Progressive
2480,4202,Progressive
2481,4205,Progressive
2482,4214,Progressive
2483,4215,Progressive
2484,4216,Progressive
2485,4217,Progressive
2486,4218,Progressive
2487,4219,Progressive
2493,4229,Progressive
2494,4230,Progressive
2509,4299,Progressive
2512,4305,progressive
2525,4336,Progressive
2526,4338,Progressive
2528,4340,Progressive
2529,4341,Progressive
2532,4350,Progressive
2533,4353,Progressive
2536,4356,Progressive
2538,4358,Progressive
2539,4359,Progressive
2612,4559,Progressive
2648,4616,Progressive
2656,4626,Progressive
2675,4650,Progressive
2820,4837,"Progressive ,since it was also his first week."
2905,4988,Progressive
3196,5383,Progressive
3261,5479,Progressive
3544,5870,Progressive
3553,5882,PROGRESSIVE
3848,6291,Progressive
3854,6298,Progressive
4469,7226,Progressive
4572,7396,Progressive .
4625,7495,"Progressive since it, was the first week in internship."
4627,7497,Progressive
4628,7498,Progressive
4630,7500,Progressive
4652,7535,Progressive
4654,7538,Progressive
4704,7605,Progressive
4834,7934,Progressive
4841,7945,Progressive
4871,8020,Progressive
4907,8106,Progressive
