id,comment_id,Comment
0,5,djfjkdfjkjkffdk edited
1,41,Faith has exhibited enthusiasm in taking on the project at hand. She has already shown promising signs in understanding the core concepts of software engineering. I look forward discovering more as time goes on.
2,49,He now has now understood the structure of grails and how different components relate. Understands the process of getting API's from MTN
3,50,"The Intern was oriented on ICT setup and Infrastructure of Soroti University, drafted workplan and started off the Internship. Simon was encouraged to take the Internship seriously as there was a lot to learn."
4,52,"The student was oriented on the organization structure, developed workplan for the 4 week internship and participated in assessment of printers for servicing.  He acquired both technical and teamwork skills at workplace."
5,53,Activities well completed
6,54,finished on time
7,55,"The student's weekly progress was justifiably good, characterized with enthusiasm to learning more."
8,56,Noted
9,57,"She found this very interesting as she was able to identify, know problems associated an his to overcome them."
10,58,"Partially done, expected a better result based on Steven's experienced. More effort needed ..."
11,63,Done to partial satisfaction. Hopefully learning points were picked.
12,65,Confirmed done as specified.
13,66,"He faced some problem of identifying the symbols, and other parts but he asked questions and made an effort to learn. Very good"
14,68,"This activity took some time to be completed, but it was completed to my satisfaction."
15,71,"He knows the requirements of how and his to install, setting up a network and managing it."
16,80,"A little delays and constant supervision. The task has been finally completed, and reviewed by the line supervisor. Good job Mahad."
17,85,He seemed not to have an idea about setting up a structured network but now I know he can do a lot more
18,88,"Student learnt and demonstrated system administration skill by creating emails for drivers, performed data backups, and troubleshooting of computer hardware and local area network."
19,96,Noted and tasks completed
20,97,"Stephen was diligent in his work. He made effort to resolve issues that were assigned to him.

He has a quick understanding of technical problems and he tries his best to solve them independently. 

Stephen is a quick learner and he has great future ahead of him in the software engineering field."
21,99,Noted and confirmed
22,100,He has very good knowledge of the whole process of installation.
23,102,Learning target achieved
24,120,She has knowledge of this topic and can identify and use the devices
25,124,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I  wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started."
26,126,"I assigned him two tasks.  One was to learn the basics of software engineering (That is building architecture and the software process work flaw), and he has done them well. I wanted him to learn git so that we can be working remotely as he learns, therefore I will be monitoring his code from Github. I realized that previously he knew nothing about Git, but now he knows something that can get him started."
27,142,"He was still having problems with using Jquery and Vue JS on the same interface, I advised him to use different master pages and only use the same CSS on both to avoid conflicts. But he is still working, it is steady progress"
29,147,He is very interested in learning new things like the commands for system admins and other things otherwise very well performed
31,149,Good time keeper with much interest on networks
32,160,"Maintains good working relationships with coworkers.
Has a good attendance record.
Error rate is acceptable, and all work is completed timely."
33,168,Took him some time to catch up with UNIX commands but great performance
34,220,"He's a quick learner, has a few ideas on the wordpress tasks and he's copying well."
35,225,"The student was able to install printer drivers. He was able to demonstrate file transfer through file access links on different computers. He was able to identify the compatible RAM  for the computer in question. He also was able to create rules to folders in MS outlook 2010.
With more practice, he will be able to operate with minimal supervision."
36,231,She needs more practice otherwise very interested
37,236,She knows about her hardware and can identify and troubleshoot related problems
38,252,"The student is well organized, willing to learn and innovative"
39,253,"As stated, the internet blackout halted progress."
40,259,"She has already learned the basics of data analysis in pandas, which is key to the main task which is developing data visualizations. 
She has also presented a conceptual model for the API design for the data that will be required to implement the dashboards."
41,263,This part was challenging to him especially with the configurations and terminations otherwise he makes effort to see that things work at the end of it all
42,264,"I gave him a task to work (improve) on the front end of a system that is already in production at this company, and he has been progressing well, I realized he knows some programming concepts, so I need to introduce him to real-world problems so he can find solutions to them. He is generally doing well, he will ask where he does not understand."
43,265,He has some knowledge about IP addresses and now is able to put them in practice
44,281,quite impressive
45,283,This week went well. Had a fair amount of tech debt clearance and some feature additions.
46,284,This week had good development momentum. No issues from me.
47,285,He knows about IP addresses which is very good and now I believe he knows how to enter them and interconnect and configure different devices
48,286,This week had slower momentum due to some miscalculations on our part.
49,287,This week's work was mostly about reducing tech debt and improving pull request quality. There is a lot of progress being made on this front by all team members.
50,288,No notable issues came up to my attention in regard to tasks execution. I am also happy that Benjamin gets to help out on pull request reviews.
51,290,Tasks execution went well. No notable issues from me per their execution.
52,291,OK
53,293,This weeks progress was derailed due to Health issues by Benjamin. We hope next week will be better.
54,296,Tasks execution went well. No notable issues from me per their execution.
55,299,Good attempt and great enthusiasm
56,302,This was new to him but now is well knowledgeable about setting up a network
57,309,The student acquired skills in networks. Simon was very participative and inquisitive to learn more.
58,310,She can identify and troubleshoot the different components of a UPS
59,311,The student acquired hands on skills on installation and configuration of network devices and network layout.
60,312,She has performed well as she is asking and contributing to the identification and solving problems associated with a UPS
61,313,She is now knowledgeable about the different symbols associated with a UPS
62,314,She is able to identify the different parts of a computer. Very good
63,315,She has performed very well as she can identity the different components
64,317,She has the knowledge but finds difficulty when starting the installation process
65,318,She has performed this very well with no hardship
66,319,The process is kind of challenging especially with the bios page otherwise during the installation she follows quite well
67,320,She needs more practice in terminating cables otherwise has knowledge of networking
68,321,She has learnt how the aspects of wireless networks work and can put them in practice
69,322,This is new to her but is serious on knowing what should be done
70,323,Notable presence of passion for graphics design and development
71,324,She quickly adapted to the use of Javascript for front end development however if possible more research in that direction would increase perfection hence help her to work faster
72,328,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP  With this he is good to go, Next is going to be combining JS, PHP, MySQL, and HTML. This will put him at a level of programming small projects for the start."
73,329,Student started learning how to deal in corporate environments.
74,330,"The student took on a new language and development platform - Django and Python and progressed well on a weekly basis, managing to develop a task management application for the development unit."
75,331,Good start. More research needed.
76,332,Good attitude towards challenges and willingness to learn. Well done.
77,333,"MS Angella is very smart, articulate, calm, ready to learn and willing to face the challenge. Ms Angella settles in well with the existing team who warmly welcomed her. Good luck with this attachment."
78,334,"Some more bug fixes and task finally completed. A report submitted, and I have reviewed the task. I should say, this was good progress."
79,335,"Also setup cPanel, uploaded the site files and enabled SSL. 
A few bugs to be sorted though."
80,336,Well done
81,341,The configuration were done successful as expected
82,342,She has mastered her hardware knowledge and now can identify and troubleshoot problems
83,343,OK
84,345,"This includes how an Office telephone extension if created 
I)	Placing the telephone set in position
II)	Terminating the cable connecting the desk top phone to the general network running to the PABX.
III)	Creating the extension number
IV)	Configuring it for a desk phone
V)	Fixing a card on a server(PBX)

The student also did work concerning printer basic management. This included replenishing a printer's tonner.
The trainee also replaced  a laptop's Micro-processor."
85,346,student started on development.
86,347,"Doing computer revision was great. I found out that the University had done a great job in the area of computer studies, which made my work a lot more easier during the internship."
87,348,He has been given an assignment to work on his personal website in wordpress and has to post news on on the channel 44 website on a daily basis. He's copying well.
88,360,The student participated in ToT in Moodle LMS. He acquired administrative skills to manage Moodle LMS
89,361,This was king kind of new to her but put it into practice very well.
90,363,She is very well knowledgeable and asks when not sure of something.
91,364,"She has performed very well in the whole process of setting up a network, assigning IP addresses to sharing resources. Keep it up"
92,365,She is catching up very well as she contributes and asks questions were she doesn't know. Very good work done
93,366,student understood the importance of software drivers and was able to distinguish printer drivers based on printer models. Student was also able to understand and use inbuilt windows utility tools.
94,378,He knows how to identify a particular system especially a UPS but found if challenging to point out specific components which am sure now can do very well
95,379,Noted and well done.
96,380,He performed very well as he is able to setup a network and share resources
97,381,Done to the supervisor's satisfaction.
98,382,He is putting in effort and understands the concept of resource sharing
99,383,He is familiar with this concept of routers as he was able to execute the work given very well
100,384,Done
101,385,This was completed to my satisfaction
102,386,"He is understanding the concept of networking very well and can setup, share from both wired and wireless networks"
103,387,She is very determined to know were she has a problem as she asks
104,388,Great enthusiasm and self drive.
106,390,He is very inquisitive and committed to the learning process
107,391,Actively involved him self in the tasks
108,392,Student performed well.
109,393,Student developed database.
110,394,"He was given a task to do different code snippets with PHP before he can start on a real-world project, He has done well all the basics of PHP, With this, he is good to go."
111,399,Completed to my satisfaction
112,400,Completed within the time frame specified.
113,401,Competed to my satisfaction.
114,402,Completed to my satisfaction
116,404,Student master the principles faster. He delivers the right thing and on time.
117,406,He has the interest of learning new and challenging things as he was able to understand and implement wireless networks
118,407,Good attitude and enthusiasm
119,408,Good resilience traits and team work
120,414,"At the end of that week, he presented a complete definition of the User interface that all stakeholders liked. All pages were well aligned and presentable, he was putting custom CSS and bootstrap together with back end data."
121,415,Accomplished the tasks and the websites were tested locally
122,416,Implemented mobile money payment from a third party provider. He has to use an API from MTN for a more feasible solution
123,417,"I am impressed by Belinda's front end skills and ability to design information systems.
She has managed to analyze the data that was handed to her and generate UI wireframes for the visualization in a web application"
124,418,"The enthusiasm to learn that has been displayed and exercised is a good indicator of a serious person/student. Keep it up, Ms Angella. The sky will be the limit if this attitude is taken up in your upcoming career."
126,423,Active in all tasks available
127,437,Forms were developed
128,438,quite impresive and on time
129,439,Developed website
130,445,He now knows the importance of a network and how to share resources
131,453,OK
132,455,OK
133,456,OK
134,457,Very much eager to learn and involve her self more in the activities
135,458,OK
136,469,"- Good attitude and reception towards learning new things. 
- She was able to ask for help whenever she needed it."
137,470,The pizza system has come a long way and it seems to have helped her learn how to navigate challenges. I would like to see it implemented in the business world in future if possible
138,471,student progressed well.
139,472,Checked and completed
140,473,Checked and completed
141,474,He understood the concept of hardware very well given his prior knowledge about some of the things.
142,475,This was new to him but nevertheless he managed to implement each aspect we talked about. Good work done
143,476,He knows things to do with IP addresses theoretically but now am sure he know his to apply them too
144,477,He is very determined yo learn new things as most of the things talked about were new. Otherwise very good listener
145,478,This was a bit challenging in the beginning but picked up and understood the concept
146,479,She is a quick learner and can put things into practice
147,482,Bridget was a very smart and active intern who showed interest in her assignments. She was always asking questions and very inquisitive though she had some difficulty with the terms used in the office. She has a high spirit of team work and was getting along with the staff well. She exhibited very good knowledge in networks and was good in application of networking skills. I noticed she pays close attention to instructions given to her and she was on track. I am very confident that her internship is going to be valuable because she is very disciplined and always seeking new ideas and knowledge.
148,493,"Namugema is very focused and good at time management. The tasks given to her were assessed and she was excellent and submitted them in time despite the internet shut down. She is always seeking  feedback and positively responds to criticism. She did all of the tasks asked of her and more. She felt comfortable enough to trust her instincts and handled many situations which alleviated much of our work load. I and the staff were all very impressed by her ability to assess the work and get things accomplished in a short work day. Our department trusted her to deal with device and network troubleshooting on her own, and she always delivered above and
beyond. I expected her to come in each day and know exactly what had to get done. She also did this with ease and was great about updating me, asked intelligent questions and picked everything up very quickly, which was the biggest advantage. She surpassed all expectations and really ran with everything we handed to her. I was very impressed with her communication, leadership, self-driven skills and traits as well as commitment to her work. There are times when she could report a bit late but used the time when in the office productively and accomplished a lot in the short time she was available. She was helpful to the staff and gave assistance."
149,499,"Namugema is highly intelligent, well organized, and motivated to work on varied assignments. Billbrain Technologies Ltd and staff were very impressed with her work ethics, enthusiasm, and drive. As indicated above she demonstrated a good base knowledge which allowed us to assign our internal financial transactions management system design and analysis to her to work our project team. Her work product was thorough, attention to detail was exceptional and she will a dedicated and ideal employee or leader to any company considering her for employment."
